('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752101 function calls (734045 primitive calls) in 1.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
  170/161    0.000    0.000    0.003    0.000 typing.py:392(inner)
        1    0.000    0.000    0.046    0.046 dammit.py:1(<module>)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        4    0.000    0.000    0.000    0.000 cookiejar.py:81(_timegm)
      212    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
       41    0.000    0.000    0.187    0.005 response.py:1160(read_chunked)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        1    0.000    0.000    1.479    1.479 financial.py:8(get_parsed_data)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       33    0.000    0.000    0.001    0.000 typing.py:687(Union)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      302    0.000    0.000    0.111    0.000 __init__.py:226(compile)
      174    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      210    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      252    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      329    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      731    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      318    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      405    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x716c45301d00}
      512    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        3    0.000    0.000    0.012    0.004 utils.py:1(<module>)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 abc.py:153(TraversableResources)
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       53    0.000    0.000    0.855    0.016 {method 'readline' of '_io.BufferedReader' objects}
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      232    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       19    0.000    0.000    0.000    0.000 typing.py:2476(overload)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      225    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
       90    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      502    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       35    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.026    0.026 dammit.py:67(EntitySubstitution)
      376    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       25    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       40    0.000    0.000    0.179    0.004 response.py:1138(_handle_chunk)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
    75/42    0.000    0.000    0.148    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      340    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.067    0.067 css_parser.py:1(<module>)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:569(parse_pseudo_class)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       85    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      162    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      174    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      503    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      319    0.000    0.000    0.000    0.000 socket.py:732(readable)
       52    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    30/17    0.000    0.000    0.170    0.010 {built-in method builtins.__import__}
       33    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.015    0.015 url.py:1(<module>)
