('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         759778 function calls (743103 primitive calls) in 1.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      126    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      125    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
      122    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      122    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      121    0.000    0.000    0.000    0.000 _make.py:1636(<genexpr>)
      120    0.000    0.000    0.291    0.002 {method 'run' of '_contextvars.Context' objects}
      120    0.001    0.000    0.293    0.002 events.py:86(_run)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      119    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      119    0.000    0.000    0.000    0.000 _make.py:981(<genexpr>)
      119    0.000    0.000    0.000    0.000 _make.py:454(<genexpr>)
      119    0.000    0.000    0.000    0.000 _make.py:618(<genexpr>)
      119    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
      118    0.000    0.000    0.000    0.000 _make.py:908(<genexpr>)
      117    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      113    0.000    0.000    0.001    0.000 _make.py:2301(__init__)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      107    0.000    0.000    0.000    0.000 _make.py:2227(_default_init_alias_for)
      107    0.000    0.000    0.000    0.000 constant.py:397(<lambda>)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       96    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
       93    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
       93    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       93    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       92    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       92    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       92    0.000    0.000    0.000    0.000 base_events.py:539(_check_closed)
       91    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       91    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       89    0.995    0.011    0.999    0.011 {method 'poll' of 'select.epoll' objects}
       89    0.004    0.000    2.585    0.029 base_events.py:1910(_run_once)
       89    0.001    0.000    1.001    0.011 selectors.py:451(select)
       89    0.000    0.000    0.000    0.000 selector_events.py:750(_process_events)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       85    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
       85    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
       84    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       81    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       81    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
       81    0.000    0.000    0.002    0.000 copy.py:61(copy)
       81    0.000    0.000    0.001    0.000 _make.py:102(attrib)
       81    0.000    0.000    0.001    0.000 _make.py:2417(__setstate__)
       81    0.000    0.000    0.001    0.000 _make.py:2359(from_counting_attr)
       81    0.000    0.000    0.001    0.000 _make.py:2408(__getstate__)
       81    0.000    0.000    0.002    0.000 _make.py:2390(evolve)
       81    0.000    0.000    0.000    0.000 _make.py:2543(__init__)
       81    0.000    0.000    0.000    0.000 events.py:36(__init__)
       81    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       78    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.002    0.000 streams.py:400(readany)
       74    0.000    0.000    0.000    0.000 streams.py:298(_wait)
       73    0.000    0.000    0.003    0.000 typing.py:740(Optional)
       71    0.000    0.000    0.001    0.000 base_events.py:814(_call_soon)
       71    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       71    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       71    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       70    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
       69    0.000    0.000    0.001    0.000 base_events.py:785(call_soon)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       67    0.000    0.000    0.000    0.000 _make.py:1879(_setattr)
       62    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       62    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
