('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         760919 function calls (744248 primitive calls) in 1.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      412    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
    48/31    0.000    0.000    0.153    0.005 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 {method 'get' of '_queue.SimpleQueue' objects}
      452    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
      115    0.000    0.000    0.000    0.000 selector_events.py:750(_process_events)
       37    0.000    0.000    0.000    0.000 _make.py:1562(_make_order)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      685    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        4    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
      287    0.000    0.000    0.090    0.000 __init__.py:226(compile)
        4    0.000    0.000    0.001    0.000 typing.py:2854(__new__)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      850    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      314    0.000    0.000    0.000    0.000 types.py:192(__init__)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      598    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       50    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
      632    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       81    0.000    0.000    0.000    0.000 _make.py:2417(__setstate__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
      174    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       65    0.000    0.000    0.000    0.000 streams.py:476(_read_nowait_chunk)
      922    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      178    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       41    0.000    0.000    0.002    0.000 typing.py:1548(__getitem__)
      420    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 _base.py:393(done)
  224/151    0.000    0.000    0.007    0.000 typing.py:508(__getitem__)
       67    0.000    0.000    0.002    0.000 sslproto.py:715(_process_outgoing)
      400    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    2.574    0.858 base_events.py:627(run_forever)
       43    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
       40    0.000    0.000    0.000    0.000 _make.py:1450(append_hash_computation_lines)
       81    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
